Filename,Birth,Death,Publish,ActivityYear,SUM,傳記類_%,公車類_%,公車類_%,哀祭類_%,序跋類_%,書簡類_%,詩類_%,雜著類_%
495. 봉암집(鳳巖集).xml,1683,1741,1783,1712,458,3.4934497816593884,2.8384279475982535,0.0,7.641921397379912,5.895196506550218,18.340611353711793,46.943231441048034,14.847161572052403
102. 우암고(寓菴稿).xml,1473,1508,,1490,257,0.0,0.0,0.0,0.38910505836575876,0.38910505836575876,0.0,99.22178988326849,0.0
97. 허암유집(虛庵遺集).xml,1469,1502,1897,1485,295,1.694915254237288,0.3389830508474576,0.0,0.0,1.3559322033898304,0.0,94.57627118644068,2.0338983050847457
488. 완암집(浣巖集).xml,1681,1759,1765,1720,514,2.529182879377432,0.0,0.0,2.140077821011673,1.9455252918287937,0.0,89.49416342412452,3.8910505836575875
420. 한수재집(寒水齋集).xml,1641,1721,1761,1681,1183,12.341504649196956,4.057480980557903,0.0,4.142011834319527,4.564666103127641,50.46491969568893,21.80896027049873,2.6204564666103125
502. 몽예집(夢囈集).xml,1689,1714,1723,1701,68,0.0,0.0,0.0,0.0,1.4705882352941175,0.0,82.35294117647058,16.176470588235293
504. 입재유고(立齋遺稿).xml,1689,1756,1912,1722,846,2.4822695035460995,2.0094562647754137,0.0,3.664302600472813,3.664302600472813,1.6548463356973995,71.98581560283688,14.539007092198581
109. 용재집(容齋集).xml,1478,1534,1586,1506,1341,2.087994034302759,0.5219985085756897,0.0,0.8202833706189411,1.342281879194631,0.0,93.95973154362416,1.267710663683818
111. 음애집(陰崖集).xml,1480,1533,1754,1506,158,3.1645569620253164,5.063291139240507,0.0,1.89873417721519,3.1645569620253164,2.5316455696202533,74.68354430379746,9.49367088607595
389. 퇴우당집(退憂堂集).xml,1626,1690,1710,1658,409,1.2224938875305624,27.87286063569682,0.0,0.4889975550122249,1.466992665036675,7.823960880195599,59.168704156479215,1.9559902200488997
412. 우사집(雩沙集).xml,1635,1703,1712,1669,533,1.6885553470919326,79.9249530956848,0.0,2.6266416510318953,0.5628517823639775,7.317073170731707,5.065666041275797,2.8142589118198873
392. 노봉집(老峯集).xml,1628,1692,1734,1660,383,6.527415143603134,26.89295039164491,0.0,4.177545691906006,1.3054830287206265,44.38642297650131,15.143603133159269,1.5665796344647518
