제목,저자,생년,몰년,활동연도,公車類,書簡類,序跋類,詩類,哀祭類,雜著類,傳記類
雙蓼堂遺集,洪龜命,1714,1775,1744,0,3.603603604,11.71171171,73.87387387,9.009009009,1.801801802,0
?村先生文集,李泰春,1704,1785,1744,0,3.238866397,4.858299595,79.75708502,8.097165992,1.214574899,2.834008097
九峰詩稿,姜載,1713,1775,1744,0,0,0,100,0,0,0
百弗菴先生文集,崔興遠,1705,1786,1745,0,72.9216152,2.137767221,13.5391924,3.800475059,5.700712589,1.90023753
農?稿,崔天翼,1712,1779,1745,0,8.148148148,0,91.85185185,0,0,0
芝山遺集,韓致明,1703,1788,1745,0,0,5.154639175,73.19587629,8.762886598,7.216494845,5.670103093
大山先生文集,李象靖,1711,1781,1746,0,47.38154613,8.395677473,33.16708229,2.078137988,3.325020781,5.652535328
果菴先生文集,宋德相,1710,1783,1746,0,13.25966851,15.46961326,22.09944751,16.57458564,6.077348066,26.51933702
安分堂遺集,鄭師夏,1713,1779,1746,0,6.976744186,2.325581395,68.99224806,4.651162791,16.27906977,0.775193798
旅庵遺稿,申景濬,1712,1781,1746,0,2.429149798,14.17004049,50.60728745,2.834008097,16.19433198,13.76518219
活山文集,南龍萬,1709,1784,1746,0,4.866180049,4.136253041,74.69586375,1.703163017,9.489051095,5.109489051
在澗集,任希聖,1712,1783,1747,0,4.761904762,4.166666667,57.14285714,8.333333333,5.952380952,19.64285714
有心齋集,李和甫(醇甫),1714,1781,1747,0,68.62745098,1.960784314,0,10.78431373,12.74509804,5.882352941
約齋先生文集,權炳,1723,1772,1747,0,43.03030303,7.272727273,44.24242424,4.242424242,1.212121212,0
江漢集,黃景源,1709,1787,1748,0,6.953642384,26.82119205,31.29139073,6.953642384,18.04635762,9.933774834
茅廬先生文集,崔南斗,1720,1777,1748,0,19.17293233,2.631578947,73.30827068,3.383458647,1.503759398,0
稷下詩集,金相福,1714,1782,1748,0,0,0,100,0,0,0
鹿門先生文集,任聖周,1711,1788,1749,0,52.96052632,8.223684211,11.18421053,8.223684211,11.18421053,8.223684211
尼溪集,朴來吾,1713,1785,1749,0,1.166666667,2.5,92.33333333,2.5,0.5,1
睡?先生文集,徐錫麟,1710,1789,1749,0,5.073995772,4.4397463,87.52642706,0,2.114164905,0.845665962
山齋遺稿,河載坤,1728,1773,1750,0,5.327868852,1.229508197,92.62295082,0.409836066,0.409836066,0
